date,mean_compound_trading_hours
2024-01-02,-0.1634080782532692
2024-01-03,-0.09087890883286791
2024-01-05,0.026572091504931457
2024-01-09,-0.20144037902355194
2024-01-10,-0.04757872503250837
2024-01-11,0.10023129762460786
2024-01-12,0.0937865693122148
2024-01-14,0.8764640367589891
2024-01-15,-0.428387314081192
2024-01-16,-0.1301845666021108
2024-01-17,-0.009243589267134655
2024-01-19,-0.3448948658381899
2024-01-22,-0.1025830134749412
2024-01-23,-0.015673287212848625
2024-01-24,0.0888948962092399
2024-01-25,-0.0297004766762256
2024-01-29,-0.014090651646256454
2024-01-30,-0.20664859563112256
2024-01-31,0.023436643183231347
2024-02-01,-0.5866420399397612
2024-02-02,0.199557913467288
2024-02-03,-0.6128503661602736
2024-02-05,0.1122386511415243
2024-02-06,-0.017333187628537423
2024-02-07,-0.2714893436059356
2024-02-08,-0.2399856150150299
2024-02-11,0.0656840857118368
2024-02-12,0.1147516407072544
2024-02-13,0.03269110321998596
2024-02-14,-0.04589749872684475
2024-02-15,-0.2197488406673073
2024-02-16,-0.2651421725749969
2024-02-17,-0.0438770279288291
2024-02-18,-0.1213220208883285
2024-02-21,-0.07899021916091443
2024-02-22,-0.117387481033802
2024-02-23,-0.3861366473138332
2024-02-25,-0.2671288624405861
2024-02-26,0.29498631809838116
2024-02-27,-0.05992919323034587
2024-02-28,-0.08353400230407715
2024-02-29,-0.05676375422626734
2024-03-01,-0.237506665289402
2024-03-02,-0.808768761344254
2024-03-03,0.5474887378513813
2024-03-04,0.5113099170848727
2024-03-05,0.06657763021066787
2024-03-06,-0.38673119184871513
2024-03-07,-0.22574359923601156
2024-03-08,0.0866767428815364
2024-03-11,0.1730884816497564
2024-03-12,-0.12678826879709956
2024-03-13,-0.12244786089286205
2024-03-14,0.2420321451500058
2024-03-15,0.37140512512996793
2024-03-17,-0.8677939823828638
2024-03-18,0.7054792791604996
2024-03-19,-0.1307067697246869
2024-03-20,-0.3654439902553956
2024-03-21,-0.3074266178300604
2024-03-22,-0.35518097900785506
2024-03-23,0.5525201358832419
2024-03-26,-0.10833800770342344
2024-03-27,-0.1451638266444206
2024-03-28,0.06382892777522403
2024-03-29,-0.0382968410849571
2024-04-01,0.09092848876025528
2024-04-02,0.21381804994307457
2024-04-03,-0.0063551515340805
2024-04-04,-0.17899951959649718
2024-04-05,-0.0351385921239852
2024-04-07,-0.0967478230595588
2024-04-08,0.299210850149393
2024-04-09,-0.26557472557760775
2024-04-10,-0.3735230364836752
2024-04-11,0.08410190418362615
2024-04-15,-0.42280431898931664
2024-04-16,-0.041294622235000106
2024-04-17,0.021201935596764088
2024-04-18,0.5166271086782217
2024-04-19,-0.3914104588329792
2024-04-20,-0.7674923064187169
2024-04-22,-0.6406369297765195
2024-04-23,0.11916727541635436
2024-04-24,-0.32296353019773955
2024-04-25,0.5641093701124191
2024-04-26,-0.27256744448095555
2024-04-27,-0.4076889418065548
2024-04-30,0.05056400100390116
2024-05-01,-0.0062921196222305
2024-05-02,0.1737275067716837
2024-05-03,0.1983725354075431
2024-05-04,-0.0750662311911583
2024-05-05,0.2677953131496906
2024-05-07,0.13085151277482512
2024-05-08,-0.2785505127782623
2024-05-10,-0.2603596076369285
2024-05-11,0.11662085540592669
2024-05-13,0.6958318669348955
2024-05-14,-0.17964257672429085
2024-05-15,-0.1870937570929527
2024-05-16,0.1246767416596412
2024-05-17,0.6958318669348955
2024-05-18,-0.5359655180945992
2024-05-20,-0.08972240844741465
2024-05-21,-0.026170021588248864
2024-05-22,-0.16235386347398162
2024-05-23,0.0022153655687967657
2024-05-24,0.0212097913026809
2024-05-26,-0.0699086412787437
2024-05-29,-0.047392907862861954
2024-05-30,0.14926837245002392
2024-05-31,0.048670221120119
2024-06-01,-0.6704700151458383
2024-06-02,-0.4293740466237068
2024-06-03,-0.517174668610096
2024-06-04,-0.1843124938507874
2024-06-05,-0.03141646459698674
2024-06-06,-0.2429335818742402
2024-06-07,-0.34103193941215676
2024-06-09,0.0039753019809722
2024-06-10,-0.4361550621688366
2024-06-11,-0.2086368240416049
2024-06-12,0.09939870052039619
2024-06-13,-0.2794578224420547
2024-06-14,0.0964537849649787
2024-06-15,0.1293350988999009
2024-06-16,0.9609019251074642
2024-06-17,-0.31222790107131
2024-06-18,-0.010606626048684084
2024-06-19,-0.3299391604959965
2024-06-20,0.22112530089604363
2024-06-21,-0.4198911860585212
2024-06-24,-0.0568140484392643
2024-06-25,-0.14524637348949904
2024-06-26,-0.12834566179662943
2024-06-27,0.4651000089943409
2024-06-28,0.13512382501115403
2024-07-02,-0.0352734453976154
2024-07-03,-0.08087427169084549
2024-07-06,-0.5511208879761398
2024-07-08,-0.105658683925867
2024-07-09,0.08255857881158593
