date,mean_compound_after_4pm_before_930am
2024-01-03,0.08070496376603839
2024-01-04,0.0468747317790985
2024-01-05,0.11063378606922927
2024-01-06,-0.0482554733753204
2024-01-09,0.5254857807885855
2024-01-10,-0.2552002964075655
2024-01-11,0.35059655539225787
2024-01-12,-0.36475813784636557
2024-01-14,-0.47377580869942904
2024-01-16,-0.3199990168213844
2024-01-17,-0.3954634853871539
2024-01-19,-0.36681050399783993
2024-01-22,-0.0957153588533401
2024-01-23,-0.3233199284101526
2024-01-24,-0.26823183428496117
2024-01-25,-0.10968702519312501
2024-01-26,0.5050460789352655
2024-01-27,0.4758386723697185
2024-01-30,-0.22116824239492414
2024-01-31,0.28973368462175125
2024-02-01,0.03875266993418335
2024-02-02,-0.0160234943032264
2024-02-03,0.2900269404053688
2024-02-06,-0.28909999007980025
2024-02-07,0.21098975798425576
2024-02-08,-0.1296786197926849
2024-02-09,0.0017387484355519253
2024-02-10,-0.15200794860720634
2024-02-11,0.03400370575642834
2024-02-12,-0.4866996305063367
2024-02-13,-0.27029739739373326
2024-02-14,-0.5269768738986126
2024-02-15,-0.05809235596098006
2024-02-16,-0.27923719049431384
2024-02-17,-0.18959416169673204
2024-02-18,-0.0732725262641906
2024-02-19,0.13201695897926888
2024-02-20,-0.27157577717055875
2024-02-21,-0.027720144639412598
2024-02-22,-0.35229551780503243
2024-02-23,-0.11484412383288145
2024-02-25,-0.4075669152662158
2024-02-26,-0.4925067443400621
2024-02-27,0.024905051415165292
2024-02-28,-0.21120477141812444
2024-02-29,0.15301067633554338
2024-03-01,0.14959068410098547
2024-03-02,-0.3603799839814504
2024-03-04,-0.42743140924721956
2024-03-05,0.18115767766721547
2024-03-06,0.266249303589575
2024-03-07,0.12334021770705779
2024-03-08,0.5714562544599175
2024-03-09,-0.2510750684887171
2024-03-11,0.2568068199325353
2024-03-12,0.16200726479291913
2024-03-13,0.3041908798040822
2024-03-14,0.09309622339372124
2024-03-15,-0.11608594353310767
2024-03-16,-0.666062714997679
2024-03-17,0.2461104387572656
2024-03-18,-0.45426937588490546
2024-03-19,-0.102583744097501
2024-03-20,0.3658669157885015
2024-03-21,0.2631886585926016
2024-03-22,-0.294232539460063
2024-03-23,0.020481441790858895
2024-03-25,0.7635263446718454
2024-03-26,0.10107049569487567
2024-03-27,-0.10430926193172739
2024-03-28,0.3341446372214705
2024-03-29,-0.12192887393757705
2024-03-30,-0.13147272542119018
2024-03-31,0.3745470698922872
2024-04-01,0.27149995920869213
2024-04-02,0.3663514448950688
2024-04-03,-0.3289693570695817
2024-04-04,0.13139904411509634
2024-04-05,0.0009735668233285718
2024-04-06,-0.04146930128335957
2024-04-07,0.5142206170130521
2024-04-08,0.2423050180077552
2024-04-09,0.018113305419683468
2024-04-10,0.19600753393024206
2024-04-11,0.19959296565502882
2024-04-12,-0.22884961838523546
2024-04-13,-0.19456965433034515
2024-04-15,-0.4394169971346855
2024-04-16,-0.16030845604836935
2024-04-17,-0.22464784588664766
2024-04-18,0.07610023673623802
2024-04-19,0.1333963433280587
2024-04-20,-0.17162259237375108
2024-04-21,-0.3180767297744751
2024-04-23,0.0452762208878994
2024-04-24,0.2827655607834458
2024-04-25,-0.20392913216104105
2024-04-26,0.19953218583638468
2024-04-27,-0.48475179083955783
2024-04-28,-0.6568689439445734
2024-04-29,-0.5690733902156353
2024-04-30,0.06659323473771413
2024-05-01,-0.1317628395433227
2024-05-02,-0.10795018076896665
2024-05-03,-0.16122326608747245
2024-05-04,-0.2688266400558253
2024-05-05,0.0405671251937747
2024-05-06,0.1983725354075431
2024-05-07,-0.04327630740590391
2024-05-08,-0.08967865144626962
2024-05-09,-0.15529439784586432
2024-05-10,-0.20116489630891013
2024-05-11,0.13519453133145964
2024-05-12,-0.16689398826565593
2024-05-13,0.2159827048890292
2024-05-14,-0.20150420283898712
2024-05-15,0.07614117115736005
2024-05-16,-0.2820698836818337
2024-05-17,-0.15288513895939104
2024-05-18,-0.09646540246903898
2024-05-19,-0.3412455674260854
2024-05-21,-0.14364151485885188
2024-05-22,0.15170915750786657
2024-05-23,-0.27258197497576475
2024-05-24,-0.22135357651859522
2024-05-25,0.1421957900747656
2024-05-26,0.6398967136628926
2024-05-28,-0.546689317561686
2024-05-29,0.25529091118369246
2024-05-30,-0.028501768751690786
2024-05-31,0.01571759465150535
2024-06-01,-0.08692015707492831
2024-06-03,-0.1345181473297999
2024-06-04,0.05847421530634165
2024-06-05,0.28672373387962574
2024-06-06,-0.0035418305546045274
2024-06-07,-0.038673238828778274
2024-06-08,-0.07869163830764593
2024-06-09,-0.2704705912619829
2024-06-11,-0.06309615134627426
2024-06-12,-0.027078816822419544
2024-06-13,-0.2248486545868218
2024-06-14,-0.09362274905045827
2024-06-15,0.14968339136491224
2024-06-16,-0.0712259858846664
2024-06-17,0.4524499086740737
2024-06-18,-0.11713186034467071
2024-06-19,-0.13216159741083786
2024-06-20,0.00024733692407610114
2024-06-21,0.32240242496897864
2024-06-22,0.03180610621348023
2024-06-23,-0.0212481543421745
2024-06-24,0.2135321167297661
2024-06-25,0.13793790992349386
2024-06-26,-0.10952826440334318
2024-06-27,0.07937748569788204
2024-06-28,0.13921151246177033
2024-06-30,-0.12494154646992685
2024-07-01,0.05069249216467135
2024-07-02,0.10749441329389813
2024-07-03,-0.010668953182175797
2024-07-04,0.07276073860703038
2024-07-05,-0.1636376827955246
2024-07-06,-0.1409792378544808
2024-07-07,-0.0747367118795713
2024-07-08,0.4547622725367546
2024-07-09,-0.07251636994381745
