date,mean_compound_before_930am
2024-01-05,-0.3815629333257675
2024-01-12,-0.7917901752516627
2024-01-27,0.4758386723697185
2024-01-30,-0.0905399993062019
2024-02-07,-0.3898936808109283
2024-02-08,-0.0410008956678212
2024-02-11,0.3613871546695009
2024-02-13,-0.49716039281338453
2024-02-14,-0.2493977099657058
2024-02-15,-0.6262468872591853
2024-02-17,-0.8523148680105805
2024-02-19,-0.10876344516873354
2024-02-20,0.1696467716246843
2024-02-21,-0.1096420437097549
2024-02-23,0.5593037977814674
2024-02-25,-0.8665954568423331
2024-02-26,-0.4925067443400621
2024-02-27,-0.1031635031104087
2024-02-29,-0.1563686579465866
2024-03-02,-0.7549154534935951
2024-03-04,-0.5866821715608239
2024-03-07,0.4502900363877415
2024-03-11,-0.0963204242289066
2024-03-12,0.1494559980928897
2024-03-13,-0.3221667483448982
2024-03-14,0.5923570031300187
2024-03-18,-0.4417578876018524
2024-03-21,-0.23575109988451
2024-03-22,-0.4220331124961376
2024-03-23,-0.018550455570220954
2024-03-27,-0.012922285745541273
2024-03-30,-0.2503738924860954
2024-04-01,-0.0732877179980278
2024-04-04,0.3087512329220772
2024-04-07,0.6841496382839978
2024-04-08,0.2423050180077552
2024-04-10,-0.1026690080761909
2024-04-11,0.3729711771011352
2024-04-12,-0.2513478291220963
2024-04-13,0.040745429927483194
2024-04-17,-0.2447632614057511
2024-04-18,-0.2384737059473991
2024-04-19,0.0008696615695953
2024-04-20,-0.21655014716088766
2024-04-21,-0.3180767297744751
2024-04-23,0.1712610814720392
2024-04-25,-0.1305009722709655
2024-04-26,0.2746782011818141
2024-04-27,-0.3256609961390495
2024-04-28,-0.6568689439445734
2024-05-01,-0.1665380182676017
2024-05-03,0.062316408380866
2024-05-04,-0.413704764097929
2024-05-05,0.4400023911148309
2024-05-06,0.1983725354075431
2024-05-07,-0.07561404133836423
2024-05-09,-0.22780995350331074
2024-05-10,-0.12934773042798045
2024-05-12,-0.4137685566674918
2024-05-13,0.3217602595686912
2024-05-14,-0.4159727075602859
2024-05-15,0.1296933591365814
2024-05-16,-0.0055848881602287
2024-05-17,-0.4123687408864498
2024-05-19,-0.3412455674260854
2024-05-23,-0.3963537900708616
2024-05-24,-0.163539856672287
2024-05-29,0.0229918397963047
2024-05-30,-0.388840576633811
2024-05-31,-0.0305466130375862
2024-06-03,-0.8294067340902984
2024-06-05,0.4281434547156095
2024-06-06,-0.1032002108792464
2024-06-07,-0.11407414078712465
2024-06-08,-0.2609854284673929
2024-06-09,-0.5133855231106281
2024-06-11,-0.9125451305881144
2024-06-12,-0.4586439654231071
2024-06-13,-0.286377743507425
2024-06-14,-0.3948848843574524
2024-06-18,-0.032386788787941184
2024-06-19,-0.4461061619222164
2024-06-20,-0.0162293575704097
2024-06-22,0.0704960860311985
2024-06-24,0.1969207031652331
2024-06-26,-0.40676698088645935
2024-06-27,0.6186357638798654
2024-06-30,0.1089966371655464
2024-07-01,0.0191011726856231
2024-07-02,0.16149530652910474
2024-07-04,-0.3628435116261244
2024-07-05,-0.1636376827955246
2024-07-07,-0.0747367118795713
